,Circuit Depth,,,,Success rate (%) ,,,,In-constraints rate (%) ,,,
,Penalty,Cyclic,HEA,Choco-Q,Penalty,Cyclic,HEA,Choco-Q,Penalty,Cyclic,HEA,Choco-Q
F1,40,65,30,220,5.012695,9.072266,4.741211,82.1875,19.891602,40.692383,22.047852,100
F2,64,94,75,856,0.125,0.454102,0.007812,45.225586,1.001953,4.331055,0.125,100
F3,68,98,105,1161,0,0.057617,0,13.74707,0.074219,2.026367,0,100
F4,80,118,140,1681,0,0.022711,0,14.65625,0,0.931141,0,100
G1,134.72,200,60,836.65,0.946289,10.095703,0.119141,44.666992,4.049805,57.674805,0.666016,100
G2,158.6,246.8,75,734.1,0.123047,0.082031,0,41.37207,0.59668,46.169922,0.037109,100
G3,475.2,566.64,120,1627.78,0,0,0,13.385742,0.136719,47.636719,0,100
G4,495.5,609,140,1579.35,0,0,0,4.057617,0.029297,29.503038,0,88.891602
K1,85.16,142.4,40,572.54,1.867188,15.322266,1.498047,83.865234,6.699219,45.866211,4.363281,100
K2,145.78,204.76,90,1922.88,0,3.001953,0,20.22168,0.131836,78.022461,0.043403,100
K3,187.48,249.98,120,2687.13,0,2.998047,0,4.538086,0,69.99707,0,100
K4,210.3,269.8,135,3066.41,0,0,0,3.446289,0,69.760629,0,100
